time,latitude,longitude,altitude,speed,speed_elevation
2024-02-07 12:21:17+00:00,45.31015,5.89115,980.0,,
2024-02-07 12:21:18+00:00,45.310117,5.8912,978.0,5.728636626062296,-2.0
2024-02-07 12:21:19+00:00,45.310083,5.891217,973.0,6.410651469695315,-5.0
2024-02-07 12:21:20+00:00,45.31005,5.891233,969.0,5.573502739032979,-4.0
2024-02-07 12:21:21+00:00,45.31,5.89125,966.0,6.461528028603734,-3.0
2024-02-07 12:21:22+00:00,45.30995,5.891267,961.0,7.599430741716078,-5.0
2024-02-07 12:21:23+00:00,45.3099,5.891317,949.0,13.795018951829551,-12.0
2024-02-07 12:21:25+00:00,45.309833,5.8914,944.0,5.541897939499851,-5.0
2024-02-07 12:21:26+00:00,45.309767,5.891433,933.0,13.477914527751864,-11.0
2024-02-07 12:21:27+00:00,45.3097,5.891467,929.0,8.872033639556657,-4.0
2024-02-07 12:21:28+00:00,45.309633,5.891467,929.0,7.458405883302007,0.0
2024-02-07 12:21:30+00:00,45.309517,5.891483,917.0,8.836234850114106,-12.0
2024-02-07 12:21:31+00:00,45.309467,5.891483,915.0,5.914395368779565,-2.0
2024-02-07 12:21:32+00:00,45.309417,5.891433,925.0,12.09556980953923,10.0
2024-02-07 12:21:33+00:00,45.309367,5.8914,931.0,8.582229800637077,6.0
2024-02-07 12:21:34+00:00,45.309317,5.89135,936.0,8.4441022668793,5.0
2024-02-07 12:21:35+00:00,45.309283,5.891283,940.0,7.60518383846062,4.0
2024-02-07 12:21:36+00:00,45.309233,5.891233,942.0,7.092454336125683,2.0
2024-02-07 12:21:37+00:00,45.309183,5.891183,945.0,7.436594351157436,3.0
2024-02-07 12:21:38+00:00,45.309133,5.89115,942.0,6.83042630098073,-3.0
2024-02-07 12:21:46+00:00,45.308683,5.89095,933.0,6.656242384395281,-9.0
2024-02-07 12:21:53+00:00,45.308617,5.890917,938.0,1.3221384261222995,5.0
2024-02-07 12:21:55+00:00,45.308217,5.89045,937.0,28.81175693904473,-1.0
2024-02-07 12:21:56+00:00,45.308183,5.890417,934.0,5.477231069042875,-3.0
2024-02-07 12:21:57+00:00,45.308167,5.890367,936.0,4.742970769650828,2.0
2024-02-07 12:21:58+00:00,45.30815,5.8903,935.0,5.665336000681962,-1.0
2024-02-07 12:21:59+00:00,45.308117,5.890217,933.0,7.727883863511277,-2.0
2024-02-07 12:22:00+00:00,45.308083,5.890117,934.0,8.753228911731025,1.0
2024-02-07 12:22:01+00:00,45.308067,5.89005,934.0,5.539600673579083,0.0
2024-02-07 12:22:02+00:00,45.308033,5.889983,933.0,6.545229923871692,-1.0
2024-02-07 12:22:03+00:00,45.308,5.889917,934.0,6.418301217154511,1.0
2024-02-07 12:22:04+00:00,45.307967,5.88985,935.0,6.481499277815758,1.0
2024-02-07 12:22:05+00:00,45.307933,5.889767,934.0,7.5862196840288405,-1.0
2024-02-07 12:22:06+00:00,45.3079,5.8897,936.0,6.708941640385879,2.0
2024-02-07 12:22:07+00:00,45.307883,5.889617,935.0,6.841557894165741,-1.0
2024-02-07 12:22:08+00:00,45.307867,5.88955,934.0,5.629153558608736,-1.0
2024-02-07 12:22:09+00:00,45.307817,5.889483,929.0,9.13756704356609,-5.0
2024-02-07 12:22:10+00:00,45.307767,5.889417,932.0,8.165779998175225,3.0
